ts,hermes_price,hermes_conf,lazer_price,lazer_conf,lazer_bid,lazer_ask,deviation_abs,deviation_pct,lazer_spread,lazer_price_step,lazer_stuck
2026-04-08 08:16:43+00:00,138.357380,8.357370,130.002000,10.002000,120.000000,138.500000,-8.355380,-6.038984,18.500000,0.000260,True
2026-04-08 08:16:44+00:00,138.358530,8.358520,130.001600,10.001600,120.000000,138.500000,-8.356930,-6.040054,18.500000,0.000400,True
2026-04-08 08:16:45+00:00,138.358530,8.358520,130.001860,10.001860,120.000000,138.500000,-8.356670,-6.039866,18.500000,0.000260,True
2026-04-08 08:16:46+00:00,138.358530,8.358520,130.001470,10.001470,120.000000,138.500000,-8.357060,-6.040148,18.500000,0.000390,True
2026-04-08 08:16:47+00:00,138.358530,8.358520,130.001470,10.001470,120.000000,138.500000,-8.357060,-6.040148,18.500000,0.000000,True
2026-04-08 08:16:48+00:00,138.358530,8.358520,130.002390,10.002390,120.000000,138.500000,-8.356140,-6.039483,18.500000,0.000920,True
2026-04-08 08:16:49+00:00,138.358530,8.358520,130.002130,10.002130,120.000000,138.500000,-8.356400,-6.039671,18.500000,0.000260,True
2026-04-08 08:16:50+00:00,138.358530,8.358520,130.002650,10.002650,120.000000,138.500000,-8.355880,-6.039295,18.500000,0.000520,True
2026-04-08 08:16:51+00:00,138.358530,8.358520,130.001600,10.001600,120.000000,138.500000,-8.356930,-6.040054,18.500000,0.001050,True
2026-04-08 08:16:52+00:00,138.358530,8.358520,130.001860,10.001860,120.000000,138.500000,-8.356670,-6.039866,18.500000,0.000260,True
2026-04-08 08:16:53+00:00,138.358530,8.358520,130.002260,10.002260,120.000000,138.500000,-8.356270,-6.039577,18.500000,0.000400,True
2026-04-08 08:16:54+00:00,138.355400,8.355400,130.002260,10.002260,120.000000,138.500000,-8.353140,-6.037451,18.500000,0.000000,True
2026-04-08 08:16:55+00:00,138.355400,8.355400,130.001470,10.001470,120.000000,138.500000,-8.353930,-6.038022,18.500000,0.000790,True
2026-04-08 08:16:56+00:00,138.355400,8.355400,130.002000,10.002000,120.000000,138.500000,-8.353400,-6.037639,18.500000,0.000530,True
2026-04-08 08:16:57+00:00,138.355400,8.355400,130.002000,10.002000,120.000000,138.500000,-8.353400,-6.037639,18.500000,0.000000,True
2026-04-08 08:16:58+00:00,138.355400,8.355400,130.002260,10.002260,120.000000,138.500000,-8.353140,-6.037451,18.500000,0.000260,True
2026-04-08 08:16:59+00:00,138.355400,8.355400,130.001470,10.001470,120.000000,138.500000,-8.353930,-6.038022,18.500000,0.000790,True
2026-04-08 08:17:00+00:00,138.355400,8.355400,130.001600,10.001600,120.000000,140.000000,-8.353800,-6.037928,20.000000,0.000130,True
2026-04-08 08:17:01+00:00,138.368750,8.368760,130.001470,10.001470,120.000000,140.000000,-8.367280,-6.047088,20.000000,0.000130,True
2026-04-08 08:17:02+00:00,138.368750,8.368760,130.002260,10.002260,120.000000,140.000000,-8.366490,-6.046517,20.000000,0.000790,True
2026-04-08 08:17:03+00:00,138.369190,8.369200,130.001730,10.001730,120.000000,140.000000,-8.367460,-6.047199,20.000000,0.000530,True
2026-04-08 08:17:04+00:00,138.369190,8.369200,130.002260,10.002260,120.000000,140.000000,-8.366930,-6.046816,20.000000,0.000530,True
2026-04-08 08:17:05+00:00,138.369190,8.369200,130.002000,10.002000,120.000000,140.000000,-8.367190,-6.047004,20.000000,0.000260,True
2026-04-08 08:17:06+00:00,138.370120,8.370110,130.002000,10.002000,120.000000,140.000000,-8.368120,-6.047635,20.000000,0.000000,True
2026-04-08 08:17:07+00:00,138.370120,8.370110,130.002260,10.002260,120.000000,140.000000,-8.367860,-6.047447,20.000000,0.000260,True
2026-04-08 08:17:08+00:00,138.370120,8.370110,130.002130,10.002130,120.000000,140.000000,-8.367990,-6.047541,20.000000,0.000130,True
2026-04-08 08:17:09+00:00,138.370120,8.370110,130.001860,10.001860,120.000000,140.000000,-8.368260,-6.047736,20.000000,0.000270,True
2026-04-08 08:17:10+00:00,138.370120,8.370110,130.001470,10.001470,120.000000,140.000000,-8.368650,-6.048018,20.000000,0.000390,True
2026-04-08 08:17:11+00:00,138.370120,8.370110,130.002520,10.002520,120.000000,140.000000,-8.367600,-6.047259,20.000000,0.001050,True
2026-04-08 08:17:12+00:00,138.358000,8.357990,130.001470,10.001470,120.000000,140.000000,-8.356530,-6.039788,20.000000,0.001050,True
2026-04-08 08:17:13+00:00,138.358000,8.357990,130.002390,10.002390,120.000000,140.000000,-8.355610,-6.039123,20.000000,0.000920,True
2026-04-08 08:17:14+00:00,138.358000,8.357990,130.001730,10.001730,120.000000,140.000000,-8.356270,-6.039600,20.000000,0.000660,True
2026-04-08 08:17:15+00:00,138.358000,8.357990,130.001470,10.001470,120.000000,140.000000,-8.356530,-6.039788,20.000000,0.000260,True
2026-04-08 08:17:16+00:00,138.358000,8.357990,130.001600,10.001600,120.000000,140.000000,-8.356400,-6.039694,20.000000,0.000130,True
2026-04-08 08:17:17+00:00,138.358940,8.358950,130.002260,10.002260,120.000000,140.000000,-8.356680,-6.039855,20.000000,0.000660,True
2026-04-08 08:17:18+00:00,138.358940,8.358930,130.001860,10.001860,120.000000,140.000000,-8.357080,-6.040145,20.000000,0.000400,True
2026-04-08 08:17:19+00:00,138.358940,8.358930,130.002130,10.002130,120.000000,140.000000,-8.356810,-6.039949,20.000000,0.000270,True
2026-04-08 08:17:20+00:00,138.358940,8.358930,130.002000,10.002000,120.000000,140.000000,-8.356940,-6.040043,20.000000,0.000130,True
2026-04-08 08:17:21+00:00,138.358940,8.358930,130.001730,10.001730,120.000000,140.000000,-8.357210,-6.040239,20.000000,0.000270,True
2026-04-08 08:17:22+00:00,138.358940,8.358930,130.002000,10.002000,120.000000,140.000000,-8.356940,-6.040043,20.000000,0.000270,True
2026-04-08 08:17:23+00:00,138.357740,8.357730,130.001600,10.001600,120.000000,140.000000,-8.356140,-6.039518,20.000000,0.000400,True
2026-04-08 08:17:24+00:00,138.357740,8.357730,130.002000,10.002000,120.000000,140.000000,-8.355740,-6.039228,20.000000,0.000400,True
2026-04-08 08:17:25+00:00,138.357740,8.357730,130.001730,10.001730,120.000000,140.000000,-8.356010,-6.039424,20.000000,0.000270,True
2026-04-08 08:17:26+00:00,138.357740,8.357730,130.001470,10.001470,120.000000,140.000000,-8.356270,-6.039612,20.000000,0.000260,True
2026-04-08 08:17:27+00:00,138.364900,8.364890,130.001860,10.001860,120.000000,140.000000,-8.363040,-6.044192,20.000000,0.000390,True
2026-04-08 08:17:28+00:00,138.364900,8.364890,130.002260,10.002260,120.000000,140.000000,-8.362640,-6.043903,20.000000,0.000400,True
2026-04-08 08:17:29+00:00,138.364900,8.364890,130.002390,10.002390,120.000000,140.000000,-8.362510,-6.043809,20.000000,0.000130,True
2026-04-08 08:17:30+00:00,138.364900,8.364890,130.001600,10.001600,120.000000,140.000000,-8.363300,-6.044380,20.000000,0.000790,True
2026-04-08 08:17:31+00:00,138.364900,8.364890,130.001600,10.001600,120.000000,140.000000,-8.363300,-6.044380,20.000000,0.000000,True
2026-04-08 08:17:32+00:00,138.364900,8.364890,130.001860,10.001860,120.000000,140.000000,-8.363040,-6.044192,20.000000,0.000260,True
2026-04-08 08:17:33+00:00,138.364900,8.364890,130.002130,10.002130,120.000000,140.000000,-8.362770,-6.043997,20.000000,0.000270,True
2026-04-08 08:17:34+00:00,138.359470,8.359460,130.001600,10.001600,120.000000,140.000000,-8.357870,-6.040692,20.000000,0.000530,True
2026-04-08 08:17:35+00:00,138.359470,8.359460,130.001470,10.001470,120.000000,140.000000,-8.358000,-6.040786,20.000000,0.000130,True
2026-04-08 08:17:36+00:00,138.359470,8.359480,130.002390,10.002390,120.000000,140.000000,-8.357080,-6.040121,20.000000,0.000920,True
2026-04-08 08:17:37+00:00,138.359470,8.359480,130.001860,10.001860,120.000000,140.000000,-8.357610,-6.040504,20.000000,0.000530,True
2026-04-08 08:17:38+00:00,138.359470,8.359480,130.002000,10.002000,120.000000,140.000000,-8.357470,-6.040403,20.000000,0.000140,True
2026-04-08 08:17:39+00:00,138.356970,8.356980,130.001860,10.001860,120.000000,140.000000,-8.355110,-6.038807,20.000000,0.000140,True
2026-04-08 08:17:40+00:00,138.356970,8.356980,130.001470,10.001470,120.000000,140.000000,-8.355500,-6.039089,20.000000,0.000390,True
2026-04-08 08:17:41+00:00,138.356970,8.356980,130.002130,10.002130,120.000000,140.000000,-8.354840,-6.038612,20.000000,0.000660,True
2026-04-08 08:17:42+00:00,138.356970,8.356960,130.002130,10.002130,120.000000,140.000000,-8.354840,-6.038612,20.000000,0.000000,True
2026-04-08 08:17:43+00:00,138.356970,8.356960,130.002130,10.002130,120.000000,140.000000,-8.354840,-6.038612,20.000000,0.000000,True
2026-04-08 08:17:44+00:00,138.354170,8.354160,130.002000,10.002000,120.000000,140.000000,-8.352170,-6.036804,20.000000,0.000130,True
2026-04-08 08:17:45+00:00,138.354170,8.354160,130.001600,10.001600,120.000000,140.000000,-8.352570,-6.037093,20.000000,0.000400,True
2026-04-08 08:17:46+00:00,138.354170,8.354160,130.002000,10.002000,120.000000,140.000000,-8.352170,-6.036804,20.000000,0.000400,True
2026-04-08 08:17:47+00:00,138.354170,8.354160,130.001470,10.001470,120.000000,140.000000,-8.352700,-6.037187,20.000000,0.000530,True
2026-04-08 08:17:48+00:00,138.354170,8.354180,130.002520,10.002520,120.000000,140.000000,-8.351650,-6.036428,20.000000,0.001050,True
2026-04-08 08:17:49+00:00,138.354170,8.354180,130.001470,10.001470,120.000000,140.000000,-8.352700,-6.037187,20.000000,0.001050,True
2026-04-08 08:17:50+00:00,138.354170,8.354180,130.001600,10.001600,120.000000,140.000000,-8.352570,-6.037093,20.000000,0.000130,True
2026-04-08 08:17:51+00:00,138.358730,8.358740,130.002130,10.002130,120.000000,140.000000,-8.356600,-6.039807,20.000000,0.000530,True
2026-04-08 08:17:52+00:00,138.358730,8.358740,130.001730,10.001730,120.000000,140.000000,-8.357000,-6.040096,20.000000,0.000400,True
2026-04-08 08:17:53+00:00,138.358730,8.358730,130.001730,10.001730,120.000000,140.000000,-8.357000,-6.040096,20.000000,0.000000,True
2026-04-08 08:17:54+00:00,138.358730,8.358730,130.002130,10.002130,120.000000,140.000000,-8.356600,-6.039807,20.000000,0.000400,True
2026-04-08 08:17:55+00:00,138.357540,8.357540,130.002260,10.002260,120.000000,140.000000,-8.355280,-6.038905,20.000000,0.000130,True
2026-04-08 08:17:56+00:00,138.357540,8.357540,130.001860,10.001860,120.000000,140.000000,-8.355680,-6.039194,20.000000,0.000400,True
2026-04-08 08:17:57+00:00,138.357540,8.357540,130.001730,10.001730,120.000000,140.000000,-8.355810,-6.039288,20.000000,0.000130,True
2026-04-08 08:17:58+00:00,138.357540,8.357540,130.001600,10.001600,120.000000,140.000000,-8.355940,-6.039382,20.000000,0.000130,True
